ID,Background,Body,Tattoo,Beak,Clothing,Neck,Mouth,Earring,Eyes,Hat
43432985,Yellow,Classic Pink,None,None,Dwight,None,Standard,None,Kurts,Cornrows
43432860,Yellow,Grey,None,None,Red Polo,None,Cigar,Punk,Scratch,Pizza Slice
43432496,Pink Spin,Leopard,None,None,Classic MNGO,None,Fresh Catch,None,Eyepatch,Paper Plane
